Field Name,Occurrence Count,Type
Ortsteil,21,Duplicate
ags,20,Duplicate
2025,20,Duplicate
attributes.PLZ,20,Duplicate
attributes.ORT,20,Duplicate
gebiet-nr,19,Duplicate
max-schnellmeldungen,19,Duplicate
anz-schnellmeldungen,19,Duplicate
A1,19,Duplicate
A2,19,Duplicate
A3,19,Duplicate
A,19,Duplicate
B,19,Duplicate
B1,19,Duplicate
C,19,Duplicate
D,19,Duplicate
Wahl,19,Duplicate
attributes.STRASSE,19,Duplicate
AltK_03A__-17-64-,18,Duplicate
type,18,Duplicate
1.Qu. 2021,18,Duplicate
2.Qu. 2021,18,Duplicate
3.Qu. 2021,18,Duplicate
4.Qu. 2021,18,Duplicate
1.Qu. 2022,18,Duplicate
2.Qu. 2022,18,Duplicate
3.Qu. 2022,18,Duplicate
Unnamed: 8,18,Duplicate
attributes.BEZEICHNUNG,18,Duplicate
attributes.TELEFON,18,Duplicate
D1,17,Duplicate
D2,17,Duplicate
D3,17,Duplicate
D4,17,Duplicate
D5,17,Duplicate
D6,17,Duplicate
D7,17,Duplicate
D8,17,Duplicate
D9,17,Duplicate
D10,17,Duplicate
D11,17,Duplicate
D12,17,Duplicate
D13,17,Duplicate
D14,17,Duplicate
D15,17,Duplicate
D16,17,Duplicate
D17,17,Duplicate
D18,17,Duplicate
1.Qu. 2016,17,Duplicate
2.Qu. 2016,17,Duplicate
3.Qu. 2016,17,Duplicate
4.Qu. 2016,17,Duplicate
1.Qu. 2017,17,Duplicate
2.Qu. 2017,17,Duplicate
3.Qu. 2017,17,Duplicate
4.Qu. 2017,17,Duplicate
1.Qu. 2018,17,Duplicate
2.Qu. 2018,17,Duplicate
3.Qu. 2018,17,Duplicate
4.Qu. 2018,17,Duplicate
1.Qu. 2019,17,Duplicate
2.Qu. 2019,17,Duplicate
3.Qu. 2019,17,Duplicate
4.Qu. 2019,17,Duplicate
2.Qu. 2020,17,Duplicate
3.Qu. 2020,17,Duplicate
4.Qu. 2020,17,Duplicate
4.Qu. 2022,17,Duplicate
1.Qu. 2023,17,Duplicate
2.Qu. 2023,17,Duplicate
3.Qu. 2023,17,Duplicate
4.Qu. 2023,17,Duplicate
1.Qu. 2024,17,Duplicate
2.Qu. 2024,17,Duplicate
3.Qu. 2024,17,Duplicate
4.Qu. 2024,17,Duplicate
1.Qu. 2025,17,Duplicate
2.Qu. 2025,17,Duplicate
anzahl,17,Duplicate
vorname,17,Duplicate
geschlecht,17,Duplicate
1.Qu. 2020,16,Duplicate
attributes.FID,16,Duplicate
attributes.WGFZ,16,Duplicate
E,15,Duplicate
Partei_ID_StatAmtLE,15,Duplicate
Parteiname_harmonisiert_v1_0,15,Duplicate
objectid,15,Duplicate
1.Qu. 2007,15,Duplicate
2.Qu. 2007,15,Duplicate
3.Qu. 2007,15,Duplicate
4.Qu. 2007,15,Duplicate
1.Qu. 2008,15,Duplicate
2.Qu. 2008,15,Duplicate
3.Qu. 2008,15,Duplicate
4.Qu. 2008,15,Duplicate
1.Qu. 2009,15,Duplicate
2.Qu. 2009,15,Duplicate
3.Qu. 2009,15,Duplicate
4.Qu. 2009,15,Duplicate
1.Qu. 2010,15,Duplicate
2.Qu. 2010,15,Duplicate
3.Qu. 2010,15,Duplicate
4.Qu. 2010,15,Duplicate
1.Qu. 2011,15,Duplicate
2.Qu. 2011,15,Duplicate
3.Qu. 2011,15,Duplicate
4.Qu. 2011,15,Duplicate
1.Qu. 2012,15,Duplicate
2.Qu. 2012,15,Duplicate
3.Qu. 2012,15,Duplicate
4.Qu. 2012,15,Duplicate
1.Qu. 2013,15,Duplicate
2.Qu. 2013,15,Duplicate
3.Qu. 2013,15,Duplicate
4.Qu. 2013,15,Duplicate
1.Qu. 2014,15,Duplicate
2.Qu. 2014,15,Duplicate
3.Qu. 2014,15,Duplicate
4.Qu. 2014,15,Duplicate
1.Qu. 2015,15,Duplicate
2.Qu. 2015,15,Duplicate
3.Qu. 2015,15,Duplicate
4.Qu. 2015,15,Duplicate
Beschreibung,15,Duplicate
Haushaltsjahr,15,Duplicate
Wahlbezirk,14,Duplicate
PLZ,14,Duplicate
Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet),14,Duplicate
AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-,14,Duplicate
1.Qu. 2003,14,Duplicate
2.Qu. 2003,14,Duplicate
3.Qu. 2003,14,Duplicate
4.Qu. 2003,14,Duplicate
1.Qu. 2004,14,Duplicate
2.Qu. 2004,14,Duplicate
3.Qu. 2004,14,Duplicate
4.Qu. 2004,14,Duplicate
1.Qu. 2005,14,Duplicate
2.Qu. 2005,14,Duplicate
3.Qu. 2005,14,Duplicate
4.Qu. 2005,14,Duplicate
1.Qu. 2006,14,Duplicate
2.Qu. 2006,14,Duplicate
3.Qu. 2006,14,Duplicate
4.Qu. 2006,14,Duplicate
Datensatztitel,14,Duplicate
Datenstand,14,Duplicate
Unnamed: 9,14,Duplicate
Bereich,14,Duplicate
Titelbezeichnung,14,Duplicate
Bkz,14,Duplicate
Unterkonto,14,Duplicate
Kennbuchstabe,14,Duplicate
Ansatz,14,Duplicate
ResteVorjahre,14,Duplicate
Zugang/Abgang,14,Duplicate
Fortgeschriebenes Soll,14,Duplicate
Anordnungssoll,14,Duplicate
Festlegung,14,Duplicate
Gebildete Reste,14,Duplicate
Ist,14,Duplicate
attributes.TRAEGER,14,Duplicate
attributes.EMAIL,14,Duplicate
Haushalt-Größe-5,13,Duplicate
Gestorbene,13,Duplicate
Wohndauer in 6 Klassen,13,Duplicate
Wohndauer in Monaten,13,Duplicate
F,13,Duplicate
F1,13,Duplicate
F2,13,Duplicate
F3,13,Duplicate
F4,13,Duplicate
F5,13,Duplicate
F6,13,Duplicate
F7,13,Duplicate
F8,13,Duplicate
F9,13,Duplicate
F10,13,Duplicate
F11,13,Duplicate
F12,13,Duplicate
F13,13,Duplicate
F14,13,Duplicate
F15,13,Duplicate
F16,13,Duplicate
F17,13,Duplicate
F18,13,Duplicate
D19,13,Duplicate
D20,13,Duplicate
D21,13,Duplicate
D22,13,Duplicate
D23,13,Duplicate
D24,13,Duplicate
D25,13,Duplicate
D26,13,Duplicate
name,13,Duplicate
Typ,13,Duplicate
Tabellenüberschrift,13,Duplicate
Nummer und Erklärung Fußnote,13,Duplicate
Einzelplan,13,Duplicate
Zähler,13,Duplicate
Verfügungsbeschränkung,13,Duplicate
Verfügbares Soll,13,Duplicate
Verfügbare Mittel,13,Duplicate
attributes.KURZBEZEICHNUNG,13,Duplicate
Monat,12,Duplicate
Bezugsland (M03-MigraPro)-IRB_Zus-fassung 2020ff.,12,Duplicate
AltK_05D__-24-44-59-64-,12,Duplicate
Stimme,12,Duplicate
fme_tstamp,12,Duplicate
FID,12,Duplicate
Schulart,12,Duplicate
position,12,Duplicate
Bezirk,12,Duplicate
Unnamed: 12,12,Duplicate
Titelart,12,Duplicate
attributes.LEISTUNGEN,12,Duplicate
attributes.Nutzungsart,12,Duplicate
attributes.Geschossigkeit,12,Duplicate
attributes.Flaeche,12,Duplicate
attributes.Grundstueckstiefe,12,Duplicate
attributes.Bauweise,12,Duplicate
attributes.Satzung,12,Duplicate
geom,11,Duplicate
Unnamed: 0,11,Duplicate
Unnamed: 10,11,Duplicate
Unnamed: 11,11,Duplicate
Unnamed: 13,11,Duplicate
Bezeichnung,11,Duplicate
Bereichsbezeichnung,11,Duplicate
Einzelplanbezeichnung,11,Duplicate
Kapitelbezeichnung,11,Duplicate
Hauptgruppe,11,Duplicate
Hauptgruppenbezeichnung,11,Duplicate
Obergruppe,11,Duplicate
Obergruppenbezeichnung,11,Duplicate
Gruppe,11,Duplicate
Gruppenbezeichnung,11,Duplicate
Hauptfunktion,11,Duplicate
Hauptfunktionsbezeichnung,11,Duplicate
Oberfunktion,11,Duplicate
Oberfunktionsbezeichnung,11,Duplicate
oparlVersion,11,Duplicate
license,11,Duplicate
body,11,Duplicate
contactName,11,Duplicate
contactEmail,11,Duplicate
website,11,Duplicate
vendor,11,Duplicate
product,11,Duplicate
attributes.FAX,11,Duplicate
Familienstand,10,Duplicate
Altersgruppe,10,Duplicate
Geburtsjahr,10,Duplicate
Aggregationsebene,10,Duplicate
Wahlkreis,10,Duplicate
Wahlkreis_Name,10,Duplicate
Ortsteil_Name,10,Duplicate
Stimme_partei,10,Duplicate
Stimme_text,10,Duplicate
3.Qu. 2025,10,Duplicate
-,10,Duplicate
Adresse,10,Duplicate
Funktionsbezeichnung,10,Duplicate
Insgesamt,9,Duplicate
F19,9,Duplicate
F20,9,Duplicate
F21,9,Duplicate
F22,9,Duplicate
F23,9,Duplicate
F24,9,Duplicate
F25,9,Duplicate
F26,9,Duplicate
Ort,9,Duplicate
Kennzahl,9,Duplicate
D27,9,Duplicate
Bezeichnung Registerkarte,9,Duplicate
Unnamed: 14,9,Duplicate
attributes.SATZUNG,9,Duplicate
attributes.FLAECHE,9,Duplicate
attributes.Wert,9,Duplicate
attributes.Typ,9,Duplicate
attributes.Baujahr,9,Duplicate
attributes.Marktrichtwert,9,Duplicate
attributes.Teilmarkt,9,Duplicate
Anzahl Betriebe,8,Duplicate
Anzahl Niederlassungen,8,Duplicate
Merkmal,8,Duplicate
2010/11,8,Duplicate
2011/12,8,Duplicate
2012/13,8,Duplicate
2013/14,8,Duplicate
2014/15,8,Duplicate
2015/16,8,Duplicate
2016/17,8,Duplicate
2017/18,8,Duplicate
2019/20,8,Duplicate
2020/21,8,Duplicate
2021/22,8,Duplicate
2022/23,8,Duplicate
lat,8,Duplicate
plz,8,Duplicate
Vorname,8,Duplicate
strname,8,Duplicate
Hausnummer,8,Duplicate
Unnamed: 15,8,Duplicate
Unnamed: 16,8,Duplicate
Straßenname,7,Duplicate
geometry.type,7,Duplicate
geometry.coordinates,7,Duplicate
2009/10,7,Duplicate
2018/19,7,Duplicate
ID,7,Duplicate
Rang,7,Duplicate
pflanzjahr,7,Duplicate
bezirk,7,Duplicate
,7,Duplicate
attributes.STATUS,7,Duplicate
attributes.STICHTAG,7,Duplicate
Wahl-Form,6,Duplicate
Wahlberechtigte,6,Duplicate
Wahlberechtigte mit WS,6,Duplicate
Wähler,6,Duplicate
Wähler mit WS,6,Duplicate
Stimmen gültig,6,Duplicate
Stimmen CDU,6,Duplicate
Stimmen SPD,6,Duplicate
Stimmen Die Linke,6,Duplicate
Stimmen Grüne,6,Duplicate
Stimmen FDP,6,Duplicate
Stimmen Rechte Parteien,6,Duplicate
Stimmen AfD,6,Duplicate
Stimmen Piraten,6,Duplicate
Stimmen sonstiger Parteien,6,Duplicate
Stimmen ungültig,6,Duplicate
Brutto-Entgelte (in 1000 EUR),6,Duplicate
Gesamtumsatz (in 1000 EUR),6,Duplicate
Beschäftigtengrößenklassen_4,6,Duplicate
AltK_12A__-2-5-9-14-17-24-29-44-59-64-74-,6,Duplicate
WZ-Abteilung 2008 (2 Ziffern),6,Duplicate
Name,6,Duplicate
2004/05,6,Duplicate
2005/06,6,Duplicate
2006/07,6,Duplicate
2007/08,6,Duplicate
2008/09,6,Duplicate
GmlId,6,Duplicate
Shape,6,Duplicate
lng,6,Duplicate
null,6,Duplicate
attributes.STRSCHL,6,Duplicate
attributes.TYP,6,Duplicate
Straßenschlüssel,5,Duplicate
SV-pflichtig Beschäftigte,5,Duplicate
Anmerkung,5,Duplicate
2023/24,5,Duplicate
Partei,5,Duplicate
Stimmenanteil,5,Duplicate
Standort,5,Duplicate
F27,5,Duplicate
Name der Schule,5,Duplicate
artdtsch,5,Duplicate
artbot,5,Duplicate
gattungdeutsch,5,Duplicate
standalter,5,Duplicate
standortnr,5,Duplicate
wassermenge,5,Duplicate
wassersumme,5,Duplicate
anzahlg,5,Duplicate
adresse,5,Duplicate
Nr.,5,Duplicate
Bemerkungen,5,Duplicate
Einrichtung,5,Duplicate
internet,5,Duplicate
Schulname,5,Duplicate
BetragTyp,5,Duplicate
Betrag,5,Duplicate
Registerkarte,5,Duplicate
attributes.VNR,5,Duplicate
attributes.TITEL_VERFAHREN,5,Duplicate
attributes.RECHTSKRAFT,5,Duplicate
attributes.PLANZEICHNUNG,5,Duplicate
attributes.BEGRUENDUNG,5,Duplicate
attributes.URL,5,Duplicate
Statistischer Bezirk,4,Duplicate
Bundestagswahlkreis,4,Duplicate
Anteil in %,4,Duplicate
Geleistete Arbeitsstunden (gesamt in 1000h),4,Duplicate
Tourismus_Ankünfte,4,Duplicate
Tourismus_Übernachtungen,4,Duplicate
Alter,4,Duplicate
Brutto-Entgelte je tätiger Person,4,Duplicate
Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR),4,Duplicate
Gesamtumsatz je tätiger Person,4,Duplicate
Wahlbeteiligung_skaliert,4,Duplicate
2001/02,4,Duplicate
2002/03,4,Duplicate
2003/04,4,Duplicate
2024/25,4,Duplicate
31.12.2009,4,Duplicate
31.03.2013,4,Duplicate
30.06.2013,4,Duplicate
30.09.2013,4,Duplicate
31.12.2013,4,Duplicate
31.03.2014,4,Duplicate
30.06.2014,4,Duplicate
30.09.2014,4,Duplicate
31.12.2014,4,Duplicate
31.03.2015,4,Duplicate
30.06.2015,4,Duplicate
30.09.2015,4,Duplicate
31.12.2015,4,Duplicate
31.03.2016,4,Duplicate
30.06.2016,4,Duplicate
30.09.2016,4,Duplicate
31.12.2016,4,Duplicate
31.03.2017,4,Duplicate
30.06.2017,4,Duplicate
30.09.2017,4,Duplicate
31.12.2017,4,Duplicate
31.03.2018,4,Duplicate
30.06.2018,4,Duplicate
30.09.2018,4,Duplicate
31.12.2018,4,Duplicate
31.03.2019,4,Duplicate
30.06.2019,4,Duplicate
30.09.2019,4,Duplicate
31.12.2019,4,Duplicate
31.03.2020,4,Duplicate
30.06.2020,4,Duplicate
30.09.2020,4,Duplicate
31.12.2020,4,Duplicate
31.03.2021,4,Duplicate
30.06.2021,4,Duplicate
30.09.2021,4,Duplicate
31.12.2021,4,Duplicate
31.03.2022,4,Duplicate
30.06.2022,4,Duplicate
30.09.2022,4,Duplicate
31.12.2022,4,Duplicate
31.03.2023,4,Duplicate
30.06.2023,4,Duplicate
30.09.2023,4,Duplicate
31.12.2023,4,Duplicate
31.03.2024,4,Duplicate
30.06.2024,4,Duplicate
30.09.2024,4,Duplicate
31.12.2024,4,Duplicate
31.03.2025,4,Duplicate
12.06.1994,4,Duplicate
13.06.1999,4,Duplicate
13.06.2004,4,Duplicate
07.06.2009,4,Duplicate
25.05.2014,4,Duplicate
26.05.2019,4,Duplicate
09.06.2024,4,Duplicate
Haltestelle,4,Duplicate
D28,4,Duplicate
D29,4,Duplicate
D30,4,Duplicate
D31,4,Duplicate
D32,4,Duplicate
D33,4,Duplicate
D34,4,Duplicate
Schul_Id,4,Duplicate
Stala_Id,4,Duplicate
Strasse,4,Duplicate
Straße,4,Duplicate
unternehmen,4,Duplicate
nominalkapital,4,Duplicate
anteil,4,Duplicate
bilanzsumme,4,Duplicate
eigenkapital,4,Duplicate
umsatz,4,Duplicate
jahresergebnis,4,Duplicate
zufuehrungen,4,Duplicate
investitionen,4,Duplicate
beschaeftigte,4,Duplicate
anschrift,4,Duplicate
logo,4,Duplicate
geschaeftsfuehrung,4,Duplicate
kontrollgremienvorsitz,4,Duplicate
Schüler (w/m/d),4,Duplicate
GESIx_2013,4,Duplicate
GESIx_2022,4,Duplicate
ESIx_2013,4,Duplicate
ESIx_2022,4,Duplicate
DI_2013,4,Duplicate
DI_2022,4,Duplicate
DII_2013,4,Duplicate
DII_2022,4,Duplicate
DIII_2013,4,Duplicate
DIII_2022,4,Duplicate
attributes.KATEGORIE,4,Duplicate
attributes.ART,4,Duplicate
attributes.ENTWURF_AUSLEGUNG,4,Duplicate
attributes.AUFSTELLUNG,4,Duplicate
attributes.HAUSBEZ,4,Duplicate
attributes.NUTZUNGSART,4,Duplicate
attributes.GESCHOSSIGKEIT,4,Duplicate
attributes.GRUNDSTUECKSTIEFE,4,Duplicate
attributes.BAUWEISE,4,Duplicate
attributes.JAHR,4,Duplicate
Landtagswahlkreis,3,Duplicate
Steuereinnahmen (netto),3,Duplicate
Steuereinnahmen (brutto),3,Duplicate
Grundsteuer A und B,3,Duplicate
Gewerbesteuer (brutto),3,Duplicate
Sonstige Gemeindesteuern,3,Duplicate
Spielautomatensteuer,3,Duplicate
Hundesteuer,3,Duplicate
Zweitwohnungssteuer,3,Duplicate
Beherbergungssteuer,3,Duplicate
Gemeindeanteil an der Einkommenssteuer,3,Duplicate
Gewerbesteuerumlage,3,Duplicate
Gemeindeanteil Umsatzsteuer,3,Duplicate
Auftragseingang insgesamt (in 1000 EUR),3,Duplicate
Betriebsart,3,Duplicate
Jahr-Prognose,3,Duplicate
Wirtschaftszweig 2-Steller,3,Duplicate
Männer,3,Duplicate
Frauen,3,Duplicate
Deutsche,3,Duplicate
Ausländer,3,Duplicate
Anzahl unter 25 Jahre,3,Duplicate
Anzahl 25 bis 34 Jahre,3,Duplicate
Anzahl 35 bis 44 Jahre,3,Duplicate
Anzahl 45 bis 54 Jahre,3,Duplicate
Anzahl über 55 Jahre,3,Duplicate
ohne Berufsausbildung,3,Duplicate
mit Berufsausbildung,3,Duplicate
mit akademischer Ausbildung,3,Duplicate
Hauptgruppen (WZ 08),3,Duplicate
Grundmiete,3,Duplicate
Grundmiete - Whg mit Bad und IWC,3,Duplicate
Betriebskosten - kalt,3,Duplicate
Betriebskosten - warm,3,Duplicate
Item,3,Duplicate
Wahlbeteiligung,3,Duplicate
Anteil_Briefwähler,3,Duplicate
Briefwbz,3,Duplicate
properties.FID,3,Duplicate
stationname,3,Duplicate
count,3,Duplicate
31.03.2005,3,Duplicate
30.06.2005,3,Duplicate
30.09.2005,3,Duplicate
31.12.2005,3,Duplicate
31.03.2006,3,Duplicate
30.06.2006,3,Duplicate
30.09.2006,3,Duplicate
31.12.2006,3,Duplicate
31.03.2007,3,Duplicate
30.06.2007,3,Duplicate
30.09.2007,3,Duplicate
31.12.2007,3,Duplicate
31.03.2008,3,Duplicate
30.06.2008,3,Duplicate
30.09.2008,3,Duplicate
31.12.2008,3,Duplicate
31.03.2009,3,Duplicate
30.06.2009,3,Duplicate
30.09.2009,3,Duplicate
31.03.2010,3,Duplicate
30.06.2010,3,Duplicate
30.09.2010,3,Duplicate
31.12.2010,3,Duplicate
31.03.2011,3,Duplicate
30.06.2011,3,Duplicate
30.09.2011,3,Duplicate
31.12.2011,3,Duplicate
31.03.2012,3,Duplicate
30.06.2012,3,Duplicate
30.09.2012,3,Duplicate
31.12.2012,3,Duplicate
30.06.2025,3,Duplicate
Anzahl n,3,Duplicate
Betreiber,3,Duplicate
Wahlgang,3,Duplicate
wnum,3,Duplicate
gesl,3,Duplicate
gena,3,Duplicate
gasl,3,Duplicate
gabe,3,Duplicate
gema,3,Duplicate
ortst,3,Duplicate
brw,3,Duplicate
stag,3,Duplicate
brke,3,Duplicate
bedw,3,Duplicate
basbe,3,Duplicate
basma,3,Duplicate
bezug,3,Duplicate
entw,3,Duplicate
beit,3,Duplicate
nuta,3,Duplicate
ergnuta,3,Duplicate
bauw,3,Duplicate
gez,3,Duplicate
wgfz,3,Duplicate
grz,3,Duplicate
bmz,3,Duplicate
flae,3,Duplicate
gtie,3,Duplicate
gbrei,3,Duplicate
erve,3,Duplicate
verg,3,Duplicate
verf,3,Duplicate
yverg,3,Duplicate
xverg,3,Duplicate
bod,3,Duplicate
acza,3,Duplicate
grza,3,Duplicate
aufw,3,Duplicate
weer,3,Duplicate
koorwert,3,Duplicate
koorverf,3,Duplicate
bem,3,Duplicate
frei,3,Duplicate
brzname,3,Duplicate
umart,3,Duplicate
lumnum,3,Duplicate
brw_e,3,Duplicate
verf_e,3,Duplicate
genu,3,Duplicate
ywert,3,Duplicate
xwert,3,Duplicate
Schultraeger,3,Duplicate
Einwohnerregister 2018,3,Duplicate
Einwohnerregister 2022,3,Duplicate
Hauptvariante 2022,3,Duplicate
parkingfacilityname,3,Duplicate
dynamicdatasource,3,Duplicate
ort,3,Duplicate
strasse,3,Duplicate
ungerade Hausnr. von,3,Duplicate
ungerade Hausnr. bis,3,Duplicate
/,3,Duplicate
gerade Hausnr. von,3,Duplicate
gerade Hausnr. bis,3,Duplicate
Adresse Straße,3,Duplicate
Adresse PLZ,3,Duplicate
Wärmeversorgung,3,Duplicate
Wärmeverbrauch witterungsbereinigt,3,Duplicate
Stromverbrauch,3,Duplicate
Träger,3,Duplicate
Unnamed: 17,3,Duplicate
Telefonnummer,3,Duplicate
attributes.VONDATUM,3,Duplicate
attributes.BEMERKUNG,3,Duplicate
attributes.MARKTRICHTWERT,3,Duplicate
attributes.TEILMARKT,3,Duplicate
attributes.BAUJAHR,3,Duplicate
attributes.WERT,3,Duplicate
attributes.NUMMER,3,Duplicate
attributes.NAME,3,Duplicate
attributes.GEBIETSART,3,Duplicate
attributes.DIGIT_DATUM,3,Duplicate
attributes.DIGIT_BASIS,3,Duplicate
attributes.BESCHLUSSNR,3,Duplicate
attributes.INKRAFTDAT,3,Duplicate
Kirchenmitglieder,2,Duplicate
Taufen,2,Duplicate
Austritte,2,Duplicate
Bautätigkeit - Art,2,Duplicate
Anzahl Gebäude,2,Duplicate
Wohnungen gesamt,2,Duplicate
Kommunalwahlkreis,2,Duplicate
Stadtbezirk,2,Duplicate
Eigentümer des Gebäudes,2,Duplicate
Betriebe,2,Duplicate
Beschäftigte,2,Duplicate
Tourismus_Betriebe,2,Duplicate
Tourismus_Betten,2,Duplicate
Jahresquartal,2,Duplicate
männlich,2,Duplicate
weiblich,2,Duplicate
Auftragseingang Ausland (in 1000 EUR),2,Duplicate
Auftragseingang Eurozone (in 1000 EUR),2,Duplicate
Umsatz insgesamt aus Auftragseingang (in 1000 EUR),2,Duplicate
Umsatz Ausland aus Auftragseingang (in 1000 EUR),2,Duplicate
Umsatz Eurozone aus Auftragseingang (in 1000 EUR),2,Duplicate
Tätige Personen,2,Duplicate
Exportquote (in Prozent),2,Duplicate
nach SGB II,2,Duplicate
nach SGB III,2,Duplicate
BedarfsGem. -insgesamt,2,Duplicate
BedarfsGem. -1 Person-,2,Duplicate
BedarfsGem. -2 Personen-,2,Duplicate
BedarfsGem. -3 u.mehr Personen-,2,Duplicate
Single-BG,2,Duplicate
Alleinerziehenden-BG,2,Duplicate
Partner-BG ohne Kinder,2,Duplicate
Partner-BG mit Kindern,2,Duplicate
BG mit Zahlungsanspruch Gesamtregelleistung,2,Duplicate
BG mit Zahlungsanspruch KdU,2,Duplicate
Personen in BG - insgesamt,2,Duplicate
Kinder in BG - insgesamt,2,Duplicate
Leistungsberechtigte (LB) - insgesamt,2,Duplicate
Nicht Leistungsberechtigte (NLB) - insgesamt,2,Duplicate
Regelleistungsberechtigte (RLB) - insgesamt,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - Männer,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - Frauen,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend,2,Duplicate
Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig,2,Duplicate
Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt ,2,Duplicate
Sonstige Leistungsberechtigte (SLB) - insgesamt,2,Duplicate
Tag,2,Duplicate
"Anteil Benotung ""gut""",2,Duplicate
"Anteil Benotung ""teils/teils""",2,Duplicate
"Anteil Benotung ""schlecht""",2,Duplicate
Eröffnete Verfahren,2,Duplicate
Mangels Masse abgewiesene Verfahren,2,Duplicate
Abhängig Beschäftigte,2,Duplicate
Herkunftsland_24Auspr,2,Duplicate
Herkunftsland_05Auspr,2,Duplicate
Herkunftsland_D/A,2,Duplicate
Beschäftigtengrößenklassen_abh_Besch_4,2,Duplicate
Land des Erwerbs der HZB,2,Duplicate
Tätige Personen (absolut),2,Duplicate
Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent),2,Duplicate
Geleistete Arbeitsstunden je tätiger Person,2,Duplicate
Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR),2,Duplicate
Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent),2,Duplicate
Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR),2,Duplicate
Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR),2,Duplicate
Umsatz aus eigenen Erzeugnissen je tätiger Person,2,Duplicate
Anzahl Wohnungen,2,Duplicate
Einwohner,2,Duplicate
Einwohnerbewegung,2,Duplicate
Staatsangehörigkeit,2,Duplicate
Frage_ID,2,Duplicate
Frage,2,Duplicate
Basis,2,Duplicate
Antwort,2,Duplicate
Anzahl_Anteil,2,Duplicate
properties.Name,2,Duplicate
E_(utm33_x),2,Duplicate
N_(UTM33_y),2,Duplicate
