Found 1843 _metadata.json files

================================================================================
FIELD STATISTICS
================================================================================
Total fields (from all files): 13712
Total check (non-dup + sum of dup counts): 13712
Unique fields: 2711
Duplicate fields (out of unique): 1120
Non-duplicate fields (out of unique): 1591

================================================================================
DUPLICATE FIELDS (sorted by frequency)
================================================================================

 353x | Jahr
   3x | koorverf
   3x | bem
   3x | frei
   3x | brzname
   3x | umart
   3x | lumnum
   3x | brw_e
   3x | verf_e
   3x | genu
   3x | ywert
   3x | xwert
   3x | Schultraeger
   3x | Einwohnerregister 2018
   3x | Einwohnerregister 2022
   3x | Hauptvariante 2022
   3x | parkingfacilityname
   3x | dynamicdatasource
   3x | ort
   3x | strasse
   3x | ungerade Hausnr. von
   3x | ungerade Hausnr. bis
   3x | /
   3x | gerade Hausnr. von
   3x | gerade Hausnr. bis
   3x | Adresse Straße
   3x | Adresse PLZ
   3x | Wärmeversorgung
   3x | Wärmeverbrauch witterungsbereinigt
   3x | Stromverbrauch
   3x | Träger
   3x | Unnamed: 17
   3x | Telefonnummer
   3x | attributes.VONDATUM
   3x | attributes.BEMERKUNG
   3x | attributes.MARKTRICHTWERT
   3x | attributes.TEILMARKT
   3x | attributes.BAUJAHR
   3x | attributes.WERT
   3x | attributes.NUMMER
   3x | attributes.NAME
   3x | attributes.GEBIETSART
   3x | attributes.DIGIT_DATUM
   3x | attributes.DIGIT_BASIS
   3x | attributes.BESCHLUSSNR
   3x | attributes.INKRAFTDAT
   2x | Kirchenmitglieder
   2x | Taufen
   2x | Austritte
   2x | Bautätigkeit - Art
   2x | Anzahl Gebäude
   2x | Wohnungen gesamt
   2x | Kommunalwahlkreis
   2x | Stadtbezirk
   2x | Eigentümer des Gebäudes
   2x | Betriebe
   2x | Beschäftigte
   2x | Tourismus_Betriebe
   2x | Tourismus_Betten
   2x | Jahresquartal
   2x | männlich
   2x | weiblich
   2x | Auftragseingang Ausland (in 1000 EUR)
   2x | Auftragseingang Eurozone (in 1000 EUR)
   2x | Umsatz insgesamt aus Auftragseingang (in 1000 EUR)
   2x | Umsatz Ausland aus Auftragseingang (in 1000 EUR)
   2x | Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
   2x | Tätige Personen
   2x | Exportquote (in Prozent)
   2x | nach SGB II
   2x | nach SGB III
   2x | BedarfsGem. -insgesamt
   2x | BedarfsGem. -1 Person-
   2x | BedarfsGem. -2 Personen-
   2x | BedarfsGem. -3 u.mehr Personen-
   2x | Single-BG
   2x | Alleinerziehenden-BG
   2x | Partner-BG ohne Kinder
   2x | Partner-BG mit Kindern
   2x | BG mit Zahlungsanspruch Gesamtregelleistung
   2x | BG mit Zahlungsanspruch KdU
   2x | Personen in BG - insgesamt
   2x | Kinder in BG - insgesamt
   2x | Leistungsberechtigte (LB) - insgesamt
   2x | Nicht Leistungsberechtigte (NLB) - insgesamt
   2x | Regelleistungsberechtigte (RLB) - insgesamt
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - insgesamt
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - Männer
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - Frauen
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - Deutsche
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - Ausländer
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - unter 25 Jahre
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - 25 bis unter 35 Jahre
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - 35 bis unter 45 Jahre
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - 45 bis unter 55 Jahre
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - über 55 Jahre
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - alleinerziehend
   2x | Erwerbsfähige Leistungsberechtigte (ELB) - erwerbstätig
   2x | Nichterwerbsfähige Leistungsberechtigte (NEF) - insgesamt 
   2x | Sonstige Leistungsberechtigte (SLB) - insgesamt
   2x | Tag
   2x | Anteil Benotung "gut"
   2x | Anteil Benotung "teils/teils"
   2x | Anteil Benotung "schlecht"
   2x | Eröffnete Verfahren
   2x | Mangels Masse abgewiesene Verfahren
   2x | Abhängig Beschäftigte
   2x | Herkunftsland_24Auspr
   2x | Herkunftsland_05Auspr
   2x | Herkunftsland_D/A
   2x | Beschäftigtengrößenklassen_abh_Besch_4
   2x | Land des Erwerbs der HZB
   2x | Tätige Personen (absolut)
   2x | Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)
   2x | Geleistete Arbeitsstunden je tätiger Person
   2x | Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)
   2x | Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)
   2x | Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR)
   2x | Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR)
   2x | Umsatz aus eigenen Erzeugnissen je tätiger Person
   2x | Anzahl Wohnungen
   2x | Einwohner
   2x | Einwohnerbewegung
   2x | Staatsangehörigkeit
   2x | Frage_ID
   2x | Frage
   2x | Basis
   2x | Antwort
   2x | Anzahl_Anteil
   2x | properties.Name
   2x | E_(utm33_x)
   2x | N_(UTM33_y)
   2x | X_(ETRS89_lon)
   2x | Y_(ETRS89_lat)
   2x | counttime
   2x | 30.09.2025
   2x | 31.12.2025
   2x | 4.Qu. 2025
   2x | Leistungsart
   2x | Vergabestelle
   2x | stimmzettelposition
   2x | stimmen
   2x | gewaehlt
   2x | Oeffnungszeiten
   2x | long
   2x | Kandidat
   2x | Woche
   2x | Montag
   2x | Dienstag
   2x | Mittwoch
   2x | Donnerstag
   2x | Freitag
   2x | wahlberechtigte
   2x | waehler-gesamt
   2x | 11.09.1994
   2x | 19.09.1999
   2x | 19.09.2004
   2x | 30.08.2009
   2x | 31.08.2014
   2x | 01.09.2019
   2x | 01.09.2024
   2x | Anzahl Befragte
   2x | Wahl_text
   2x | parkingfacilityoccupancy
   2x | parkingfacilitystatus
   2x | parkingfacilitystatustime
   2x | totalnumoccupiedparkingspaces
   2x | totalnumvacantparkingspaces
   2x | totalparkingcapacityoverride
   2x | publicationtime
   2x | updateintervalmin
   2x | Einwohner_insgesamt
   2x | Einwohner_Ukrainer
   2x | Einwohner_Ukrainer_männlich
   2x | Einwohner_Ukrainer_weiblich
   2x | Einwohner_Ukrainer-nach-24022022-zugezogen
   2x | Einwohner_Ukrainer-nach-24022022-zugezogen_männlich
   2x | Einwohner_Ukrainer-nach-24022022-zugezogen_weiblich
   2x | Einwohnerregister 2019
   2x | Einwohnerregister 2020
   2x | Einwohnerregister 2021
   2x | Hauptvariante 2018
   2x | Hauptvariante 2019
   2x | Hauptvariante 2021
   2x | SJ21/22
   2x | SJ22/23
   2x | SJ23/24
   2x | SJ24/25
   2x | kivan_id
   2x | name_einr
   2x | hnr_alles
   2x | sbz
   2x | ortsteil
   2x | gesamtkap
   2x | art_einr
   2x | platz_kat
   2x | status
   2x | traeg_name
   2x | frei_traeg
   2x | traeg_tel
   2x | ap_anrede
   2x | ap_vname
   2x | ap_nname
   2x | ap_tel
   2x | ap_fax
   2x | ap_email
   2x | link
   2x | foto
   2x | gebiet
   2x | ot
   2x | 31.03.2003
   2x | 30.06.2003
   2x | 30.09.2003
   2x | 31.12.2003
   2x | 31.03.2004
   2x | 30.06.2004
   2x | 30.09.2004
   2x | 31.12.2004
   2x | stadtbzrk
   2x | beginn
   2x | ende
   2x | neu
   2x | sparte
   2x | sperrart
   2x | meldung
   2x | 16.10.1994
   2x | 27.09.1998
   2x | 22.09.2002
   2x | 18.09.2005
   2x | 27.09.2009
   2x | 22.09.2013
   2x | 24.09.2017
   2x | 26.09.2021
   2x | 23.02.2025
   2x | 2026
   2x | 2027
   2x | 2028
   2x | 2029
   2x | 2030
   2x | 2031
   2x | 2032
   2x | 2033
   2x | 2034
   2x | 2035
   2x | 2036
   2x | 2037
   2x | 2038
   2x | 2039
   2x | 2040
   2x | datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;B2;C;D;E;E1;E1_1;E1_2;E1_3;E1_4;E1_5;E1_6;E1_7;E1_8;E1_9;E1_10;E1_11;E2;E2_1;E2_2;E2_3;E2_4;E2_5;E2_6;E2_7;E2_8;E2_9;E2_10;E2_11;E3;E3_1;E3_2;E3_3;E3_4;E3_5;E3_6;E3_7;E3_8;E3_9;E3_10;E3_11;E4;E4_1;E4_2;E4_3;E4_4;E4_5;E4_6;E4_7;E4_8;E4_9;E4_10;E4_11;E5;E5_1;E5_2;E5_3;E5_4;E5_5;E5_6;E5_7;E5_8;E5_9;E5_10;E5_11;E6;E6_1;E6_2;E6_3;E6_4;E6_5;E6_6;E6_7;E6_8;E6_9;E6_10;E6_11;E7;E7_1;E7_2;E8;E8_1;E9;E9_1;E10;E10_1;E10_2;E11;E11_1;E12;E12_1;E13;E13_1;E13_2;E13_3;E14;E14_1;E15;E15_1
   2x | data
   2x | pagination.totalElements
   2x | pagination.elementsPerPage
   2x | pagination.currentPage
   2x | pagination.totalPages
   2x | links.self
   2x | links.last
   2x | links.next
   2x | typ
   2x | Staat
   2x | Wohndauer
   2x | Barrierefreiheit
   2x | Vorhaben
   2x | B2
   2x | E1
   2x | E1_1
   2x | E1_2
   2x | E1_3
   2x | E1_4
   2x | E1_5
   2x | E1_6
   2x | E1_7
   2x | E1_8
   2x | E1_9
   2x | E1_10
   2x | E1_11
   2x | E2
   2x | E2_1
   2x | E2_2
   2x | E2_3
   2x | E2_4
   2x | E2_5
   2x | E2_6
   2x | E2_7
   2x | E2_8
   2x | E2_9
   2x | E2_10
   2x | E2_11
   2x | E3
   2x | E3_1
   2x | E3_2
   2x | E3_3
   2x | E3_4
   2x | E3_5
   2x | E3_6
   2x | E3_7
   2x | E3_8
   2x | E3_9
   2x | E3_10
   2x | E3_11
   2x | E4
   2x | E4_1
   2x | E4_2
   2x | E4_3
   2x | E4_4
   2x | E4_5
   2x | E4_6
   2x | E4_7
   2x | E4_8
   2x | E4_9
   2x | E4_10
   2x | E4_11
   2x | E5
   2x | E5_1
   2x | E5_2
   2x | E5_3
   2x | E5_4
   2x | E5_5
   2x | E5_6
   2x | E5_7
   2x | E5_8
   2x | E5_9
   2x | E5_10
   2x | E5_11
   2x | E6
   2x | E6_1
   2x | E6_2
   2x | E6_3
   2x | E6_4
   2x | E6_5
   2x | E6_6
   2x | E6_7
   2x | E6_8
   2x | E6_9
   2x | E6_10
   2x | E6_11
   2x | E7
   2x | E7_1
   2x | E7_2
   2x | E8
   2x | E8_1
   2x | E9
   2x | E9_1
   2x | E10
   2x | E10_1
